Variable,Variable Name,Measurement Unit,Allowed Values,Description
Country,COUNTRY,alphabetic/nominal ," Australia, Austria, Belgium, Canada, Chile, the Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece,
Hungary, Iceland, Ireland, Israel, Italy, Japan, Korea, Latvia, Lithuania, Luxembourg, Mexico, the Netherlands, New Zealand, Norway,
Poland, Portugal, the Slovak Republic, Slovenia, Spain, Sweden,
Switzerland, Turkey, the United Kingdom and the United States. (OCED Countries)",Country/holder of a specific amount of oil
DataType,DATATYPE,alphabetic/nominal ,"IMPORTS, BALANCE, EXPORTS",measuring a batch or total balance of a country's oil
Product,PRODUCT,alphabetic/nominal ,"CRNGFEED,TOTPRODS,TOTGASO,MIDDST,RESFUEL,TOTKERO,LPG,NAPHTHA,GASDIES,OPRODS,OTPRODS,TOTALOIL",the actual product
Flow ,FLOW,alphabetic/nominal ,"BACKFLOW,BUNKERS,CSNATTER,DIRECUSE,GDINCTRO,INDPROD,IPTRANSF,NETDELIC,OSNATTER,OSOURCES,PPRECPTS,PTRANSF,RECYCLED,REFFUEL,REFGROUT,REFINOBS,REFLOSS,STATDIFF,STCHANAT,TOTEXPSB,TOTIMPSB,ALGERIA,ANGOLA,AUSTRALI,BAHRAIN,BELGIUM,BRUNEI,CANADA,CHINA,CONGO,DENMARK,EGYPT,EQGUINEA,FRANCE,GABON,GERMANY,INDONESIA,IRAN,IRAQ,IRELAND,ITALY,KUWAIT,LIBYA,MALAYSIA,MEXICO,NETHLAND,NEUTRALZON,NIGERIA,NONSPEC,NORWAY,OTHERAFRIC,OTHERASIA,OTHEREUROP,OTHERLATIN,OTHERNEARM,OTHFUSSR,OTHOECD,SAUDIARABI,SINGAPORE,SPAIN,SWEDEN,TOTIMPST,TRINIDAD,TURKEY,UAE,UK,USA,VENEZUELA,TOTOPEC,TOTOECD,OECDAM,OECDAO,OTHERS,OTHOECDEUR,PORTUGAL,TOTEXPST",The flow of the oil and includes countries 
Time ,TIME,Quarterly/Yearly,2021-(Jun-23) including Y2D2023,when was this batch of oil sold
Value,VALUE,Numeric,0-1939834.88,the cost of the oil
